GEO/TIME,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
European Union (current composition),29.2,25.3,28.7,31.1,31.7,31.6,31.3,31.6,31.5,33.0
European Union (without United Kingdom),31.5,27.0,30.7,33.2,34.2,34.1,34.3,35.0,34.6,35.8
Euro area (19 countries),30.7,26.1,29.7,32.2,33.4,33.3,33.4,34.2,33.7,34.9
Belgium,61.1,50.4,56.0,61.6,60.6,59.8,59.1,56.0,58.7,61.0
Bulgaria,36.9,27.9,37.1,46.2,46.9,50.5,49.2,48.4,48.0,51.1
Czech Republic,53.2,48.8,55.5,60.5,64.6,65.4,70.5,68.6,67.1,67.2
Denmark,33.2,29.4,31.4,34.2,34.0,34.0,33.8,34.3,33.9,34.8
Germany (until 1990 former territory of the FRG),37.0,31.3,35.6,38.1,38.8,38.1,38.0,38.7,38.0,39.0
Estonia,43.3,37.4,50.8,62.3,59.9,57.9,55.6,52.9,52.9,51.7
Ireland,51.2,57.2,61.6,58.8,58.1,54.9,58.6,76.3,70.7,65.6
Greece,10.2,8.5,10.4,13.0,15.7,16.5,16.8,16.4,16.2,17.8
Spain,17.3,15.2,17.7,20.2,21.6,23.0,23.1,23.1,22.7,23.6
France,21.0,17.9,19.6,20.8,21.1,20.9,20.7,21.4,21.0,21.6
Croatia,16.6,14.6,17.9,19.5,19.7,20.4,21.7,22.9,22.5,23.8
Italy,22.1,18.1,20.5,22.2,23.4,23.6,24.0,24.6,24.4,25.6
Cyprus,12.0,13.1,13.9,15.3,15.6,15.0,15.9,16.2,14.2,12.9
Latvia,25.3,26.6,37.1,40.9,44.1,43.1,43.4,42.5,41.7,42.3
Lithuania,46.6,41.0,53.1,62.1,67.3,68.6,64.9,59.6,56.7,61.5
Luxembourg,44.6,36.1,39.8,43.3,40.6,39.9,37.9,33.3,31.2,32.0
Hungary,66.3,60.2,66.9,70.8,70.3,69.0,69.9,71.9,70.5,70.9
Malta,41.2,33.1,39.5,42.8,45.9,38.4,31.0,28.4,26.3,27.0
Netherlands,54.7,46.8,53.7,58.7,62.1,61.7,60.9,60.6,59.4,62.7
Austria,38.6,31.7,37.9,39.8,39.5,38.2,37.9,37.4,36.5,37.9
Poland,30.7,30.1,32.6,34.8,36.2,37.8,38.6,40.0,41.7,42.8
Portugal,22.6,19.2,21.7,25.2,27.8,28.9,29.1,29.1,28.5,30.3
Romania,18.5,19.4,26.1,30.3,31.1,30.5,31.1,30.6,30.5,30.4
Slovenia,52.8,45.0,51.4,57.0,58.9,59.9,61.0,61.9,61.8,65.7
Slovakia,70.9,60.1,69.0,77.4,82.8,84.2,82.3,83.1,84.7,86.4
Finland,36.9,28.4,30.3,30.3,29.9,29.0,27.5,25.4,24.7,26.7
Sweden,37.6,31.9,34.2,34.6,33.9,31.1,31.4,30.9,30.0,31.4
United Kingdom,16.0,14.8,16.8,18.5,17.7,17.1,15.9,15.1,15.2,16.6